Environment_Type,Vertical/Industry,Company_Size,Hypervisor_Type,Storage_Type,Current_IT_Environment,Existing_Compute_Vendor,Existing_Switch_Vendor,Existing_Storage_Vendor,Current_Access_Protocol,Data_Protection_Strategy_Type,Current_Backup_Type,Current_Backup_Software,Existing_Cloud_Provider,AI_Readiness,Dell_Recommended_Server_Model,Dell_Recommended_Networking_Solution,Dell_Recommended_Storage_Product,Dell_Recommended_HCI_Solution,Dell_Recommended_Data_Protection_Solution,Cloud_UseCase_to_APEX_Mapping
Greenfield,Finance,Mid,,File,Extreme performance NAS Environment,,,,NFS,Backup,,,,"Moderate, HPC",Dell PowerEdge R Series,Dell PowerSwitch S Series,Dell PowerScale All Flash Series,,Dell PowerProtect Data Domain,
Brownfield,Healthcare,Enterprise,,Object,S3 Environment,,Dell,,S3,Backup,Differential,Veeam,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell ECS/ObjectScale,,Dell PowerProtect Data Domain,
Greenfield,Hospitality,SMB,,Cloud native,Cloud native Scalable S3 Environments,,,,multiprotocol,Snapshot,,,AWS,"Moderate, HPC",,,,,,Dell APEX Object Storage
Greenfield,Pharma,Enterprise,,File,Hybrid NAS Environment,,,,NFS,Snapshot,,,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerScale Hybrid Series,,Snapshots are taken locally by same Dell Storage recommended above,
Brownfield,Biotechnology,Enterprise,,File,Extreme performance NAS Environment,HPE,Dell,IBM,NFS,Backup,Full,Druva,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerScale All Flash Series,,Dell PowerProtect Data Domain,
Brownfield,Finance,Enterprise,,Object,S3 Environment,,Dell,,S3,Archive,Differential,Veeam,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell ECS/ObjectScale,,Dell Data Protection Suite for Archive,
Greenfield,Education,Mid,,File,Extreme performance NAS Environment,,,,NFS,Backup,,,,"Moderate, HPC",Dell PowerEdge R Series,Dell PowerSwitch S Series,Dell PowerScale All Flash Series,,Dell PowerProtect Data Domain,
Brownfield,Public Sector,Mid,,File,Extreme performance NAS Environment,Dell,Dell,,NFS,Snapshot,Incremental,Druva,,"Moderate, HPC",Dell PowerEdge R Series,Dell PowerSwitch S Series,Dell PowerScale All Flash Series,,Snapshots are taken locally by same Dell Storage recommended above,
Greenfield,Mining,SMB,,Cloud native,Cloud native Scalable S3 Environments,,,,multiprotocol,Backup,,,AWS,"Moderate, HPC",,,,,,Dell APEX Object Storage
Brownfield,Energy,Enterprise,,Block,Mission Critical Environment,IBM,Brocade,IBM,FC/iSCSI,Archive,Full,Commvault,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerMax,,Dell Data Protection Suite for Archive,
Greenfield,Nonprofit,Mid,,File,Hybrid NAS Environment,,,,NFS,Backup,,,,"Moderate, HPC",Dell PowerEdge R Series,Dell PowerSwitch S Series,Dell PowerScale Hybrid Series,,Dell PowerProtect Data Domain,
Greenfield,Automotive,Mid,,File,Extreme performance NAS Environment,,,,NFS,Snapshot,,,,"Moderate, HPC",Dell PowerEdge R Series,Dell PowerSwitch S Series,Dell PowerScale All Flash Series,,Snapshots are taken locally by same Dell Storage recommended above,
Brownfield,Telecom,SMB,,Cloud native,Cloud native Scalable S3 Environments,,Dell,,multiprotocol,Snapshot,Differential,Veeam,AWS,"Moderate, HPC",,,,,,Dell APEX Object Storage
Greenfield,Finance,Enterprise,,Unified,Business Critical Modern Environment,,,,FC/iSCSI/NFS/NVMe,Backup,,,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerStore,,Dell PowerProtect Data Domain,
Greenfield,Education,Enterprise,,File,Extreme performance NAS Environment,,,,NFS,Backup,,,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerScale All Flash Series,,Dell PowerProtect Data Domain,
Brownfield,Healthcare,SMB,,Cloud native,Cloud native Scalable S3 Environments,,Dell,,multiprotocol,Backup,Incremental,Veeam,AWS,"Moderate, HPC",,,,,,Dell APEX Object Storage
Greenfield,Logistics,Mid,,File,Hybrid NAS Environment,,,,NFS,Backup,,,,"Moderate, HPC",Dell PowerEdge R Series,Dell PowerSwitch S Series,Dell PowerScale Hybrid Series,,Dell PowerProtect Data Domain,
Greenfield,Hospitality,Enterprise,,File,Extreme performance NAS Environment,,,,NFS,Backup,,,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerScale All Flash Series,,Dell PowerProtect Data Domain,
Brownfield,Education,Enterprise,,File,Hybrid NAS Environment,,Dell,,NFS,Snapshot,Differential,Avamar,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerScale Hybrid Series,,Snapshots are taken locally by same Dell Storage recommended above,
Greenfield,Telecom,Enterprise,,File,Extreme performance NAS Environment,,,,NFS,Backup,,,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerScale All Flash Series,,Dell PowerProtect Data Domain,
Greenfield,Manufacturing,Mid,,Unified,Business Critical Modern Environment,,,,FC/iSCSI/NFS/NVMe,Backup,,,,"Moderate, HPC",Dell PowerEdge R Series,Dell PowerSwitch S Series,Dell PowerStore,,Dell PowerProtect Data Domain,
Greenfield,Legal,Enterprise,,Object,S3 Environment,,,,S3,Archive,,,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell ECS/ObjectScale,,Dell Data Protection Suite for Archive,
Greenfield,Education,Mid,,File,Extreme performance NAS Environment,,,,NFS,Snapshot,,,,"Moderate, HPC",Dell PowerEdge R Series,Dell PowerSwitch S Series,Dell PowerScale All Flash Series,,Snapshots are taken locally by same Dell Storage recommended above,
Greenfield,Maritime,SMB,,Cloud native,Cloud native Scalable S3 Environments,,,,multiprotocol,Backup,,,AWS,"Moderate, HPC",,,,,,Dell APEX Object Storage
Brownfield,Education,Enterprise,,File,Extreme performance NAS Environment,Dell,Cisco,Dell,NFS,Backup,Full,PowerProtect,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerScale All Flash Series,,Dell PowerProtect Data Domain,
Brownfield,Finance,SMB,,Block,Entry level Environment,IBM,Dell,IBM,FC/iSCSI,Archive,Differential,Commvault,,"Moderate, HPC",Dell PowerEdge R Series,Dell PowerSwitch S Series,Dell PowerVault,,Dell Data Protection Suite for Archive,
Greenfield,Transportation,Mid,,File,Extreme performance NAS Environment,,,,NFS,Snapshot,,,,"Moderate, HPC",Dell PowerEdge R Series,Dell PowerSwitch S Series,Dell PowerScale All Flash Series,,Snapshots are taken locally by same Dell Storage recommended above,
Greenfield,Pharma,Enterprise,,File,Extreme performance NAS Environment,,,,NFS,Backup,,,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerScale All Flash Series,,Dell PowerProtect Data Domain,
Brownfield,Education,Mid,,Cloud native,Cloud native Scalable S3 Environments,,Dell,,multiprotocol,Backup,Differential,Avamar,AWS,"Moderate, HPC",,,,,,Dell APEX Object Storage
Greenfield,Media,Enterprise,,File,Hybrid NAS Environment,,,,NFS,Backup,,,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerScale Hybrid Series,,Dell PowerProtect Data Domain,
Greenfield,Finance,SMB,,Cloud native,Cloud native Scalable S3 Environments,,,,multiprotocol,Backup,,,AWS,"Moderate, HPC",,,,,,Dell APEX Object Storage
Greenfield,Oil & Gas,Enterprise,,Unified,Business Critical Modern Environment,,,,FC/iSCSI/NFS/NVMe,Backup,,,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerStore,,Dell PowerProtect Data Domain,
Greenfield,Manufacturing,Mid,,File,Hybrid NAS Environment,,,,NFS,Snapshot,,,,"Moderate, HPC",Dell PowerEdge R Series,Dell PowerSwitch S Series,Dell PowerScale Hybrid Series,,Snapshots are taken locally by same Dell Storage recommended above,
Brownfield,Entertainment,Enterprise,,File,Extreme performance NAS Environment,Dell,Dell,NetApp,NFS,Backup,Full,Druva,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerScale All Flash Series,,Dell PowerProtect Data Domain,
Brownfield,Healthcare,Mid,,Block,Mission Critical Environment,Dell,Dell,EMC,FC/iSCSI,Backup,Full,Avamar,,"Moderate, HPC",Dell PowerEdge R Series,Dell PowerSwitch S Series,Dell PowerMax,,Dell PowerProtect Data Domain,
Greenfield,Media,Enterprise,,File,Hybrid NAS Environment,,,,NFS,Archive,,,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerScale Hybrid Series,,Dell Data Protection Suite for Archive,
Greenfield,Healthcare,Mid,,File,Extreme performance NAS Environment,,,,NFS,Snapshot,,,,"Moderate, HPC",Dell PowerEdge R Series,Dell PowerSwitch S Series,Dell PowerScale All Flash Series,,Snapshots are taken locally by same Dell Storage recommended above,
Brownfield,Legal,Enterprise,,Object,S3 Environment,,Dell,EMC,S3,Backup,Differential,Avamar,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell ECS/ObjectScale,,Dell PowerProtect Data Domain,
Greenfield,Energy,SMB,,Cloud native,Cloud native Scalable S3 Environments,,,,multiprotocol,Snapshot,,,AWS,"Moderate, HPC",,,,,,Dell APEX Object Storage
Brownfield,Marketing,Mid,,File,Extreme performance NAS Environment,,Dell,,NFS,Backup,Differential,Druva,,"Moderate, HPC",Dell PowerEdge R Series,Dell PowerSwitch S Series,Dell PowerScale All Flash Series,,Dell PowerProtect Data Domain,
Brownfield,Manufacturing,Enterprise,,File,Hybrid NAS Environment,,Dell,,NFS,Backup,Full,Avamar,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerScale Hybrid Series,,Dell PowerProtect Data Domain,
Greenfield,Retail,Enterprise,,File,Extreme performance NAS Environment,,,,NFS,Snapshot,,,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerScale All Flash Series,,Snapshots are taken locally by same Dell Storage recommended above,
Brownfield,Holding Company,SMB,,Cloud native,Cloud native Scalable S3 Environments,Dell,Dell,,multiprotocol,Backup,Full,Veeam,AWS,"Moderate, HPC",,,,,,Dell APEX Object Storage
Greenfield,Pharma,Mid,,File,Extreme performance NAS Environment,,,,NFS,Backup,,,,"Moderate, HPC",Dell PowerEdge R Series,Dell PowerSwitch S Series,Dell PowerScale All Flash Series,,Dell PowerProtect Data Domain,
Brownfield,Transportation,SMB,,Cloud native,Cloud native Scalable S3 Environments,,Cisco,,multiprotocol,Backup,Differential,Veeam,AWS,"Moderate, HPC",,,,,,Dell APEX Object Storage
Greenfield,Energy,Enterprise,,Unified,Business Critical Modern Environment,,,,FC/iSCSI/NFS/NVMe,Backup,,,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerStore,,Dell PowerProtect Data Domain,
Brownfield,Finance,Enterprise,,Unified,Business Critical Modern Environment,HPE,Arista,NetApp,FC/iSCSI/NFS/NVMe,Backup,Full,Commvault,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerStore,,Dell PowerProtect Data Domain,
Brownfield,Public Sector,Enterprise,,File,Extreme performance NAS Environment,Dell,Dell,,NFS,Backup,Full,Druva,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerScale All Flash Series,,Dell PowerProtect Data Domain,
Brownfield,Manufacturing,SMB,,Cloud native,Cloud native Scalable S3 Environments,,Dell,,multiprotocol,Backup,Differential,Veeam,AWS,"Moderate, HPC",,,,,,Dell APEX Object Storage
Brownfield,Legal/Finance,Enterprise,,File,Active Archive NAS Environment,Dell,Cisco,Dell,NFS,Archive,Full,Druva,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerScale Archive series,,Dell Data Protection Suite for Archive,
Greenfield,Media,Enterprise,,File,Extreme performance NAS Environment,,,,NFS,Backup,,,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerScale All Flash Series,,Dell PowerProtect Data Domain,
Brownfield,Legal,Enterprise,,Object,S3 Environment,,Dell,EMC,S3,Archive,Differential,Veeam,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell ECS/ObjectScale,,Dell Data Protection Suite for Archive,
Greenfield,Real Estate,SMB,,Cloud native,Cloud native Scalable S3 Environments,,,,multiprotocol,Backup,,,AWS,"Moderate, HPC",,,,,,Dell APEX Object Storage
Brownfield,IT Services,Mid,,File,Extreme performance NAS Environment,Dell,Arista,,NFS,Snapshot,Full,PowerProtect,,"Moderate, HPC",Dell PowerEdge R Series,Dell PowerSwitch S Series,Dell PowerScale All Flash Series,,Snapshots are taken locally by same Dell Storage recommended above,
Greenfield,Mining,Enterprise,,File,Extreme performance NAS Environment,,,,NFS,Backup,,,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerScale All Flash Series,,Dell PowerProtect Data Domain,
Brownfield,Healthcare,SMB,,Cloud native,Cloud native Scalable S3 Environments,,Dell,,multiprotocol,Backup,Differential,Veeam,AWS,"Moderate, HPC",,,,,,Dell APEX Object Storage
Greenfield,Manufacturing,Mid,,File,Extreme performance NAS Environment,,,,NFS,Snapshot,,,,"Moderate, HPC",Dell PowerEdge R Series,Dell PowerSwitch S Series,Dell PowerScale All Flash Series,,Snapshots are taken locally by same Dell Storage recommended above,
Brownfield,Public Sector,Enterprise,,File,Extreme performance NAS Environment,Dell,Cisco,Dell,NFS,Backup,Full,Druva,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerScale All Flash Series,,Dell PowerProtect Data Domain,
Greenfield,Entertainment,Mid,,Cloud native,Cloud native Scalable S3 Environments,,,,multiprotocol,Backup,,,AWS,"Moderate, HPC",,,,,,Dell APEX Object Storage
Brownfield,Education,Enterprise,,Object,S3 Environment,,Dell,,S3,Backup,Differential,Veeam,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell ECS/ObjectScale,,Dell PowerProtect Data Domain,
Brownfield,Legal,Enterprise,,File,Active Archive NAS Environment,Dell,Dell,EMC,NFS,Archive,Full,Druva,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerScale Archive series,,Dell Data Protection Suite for Archive,
Brownfield,Hospitality,Enterprise,,Object,S3 Environment,,Dell,,S3,Backup,Differential,Veeam,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell ECS/ObjectScale,,Dell PowerProtect Data Domain,
Greenfield,Education,Mid,,Cloud native,Cloud native Scalable S3 Environments,,,,multiprotocol,Backup,,,AWS,"Moderate, HPC",,,,,,Dell APEX Object Storage
Greenfield,Biotechnology,Mid,,File,Extreme performance NAS Environment,,,,NFS,Backup,,,,"Moderate, HPC",Dell PowerEdge R Series,Dell PowerSwitch S Series,Dell PowerScale All Flash Series,,Dell PowerProtect Data Domain,
Greenfield,Education,Enterprise,,File,Hybrid NAS Environment,,,,NFS,Snapshot,,,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerScale Hybrid Series,,Snapshots are taken locally by same Dell Storage recommended above,
Brownfield,Mining,Enterprise,,Object,S3 Environment,,Dell,IBM,S3,Archive,Differential,Veeam,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell ECS/ObjectScale,,Dell Data Protection Suite for Archive,
Greenfield,Agriculture,Mid,,File,Extreme performance NAS Environment,,,,NFS,Backup,,,,"Moderate, HPC",Dell PowerEdge R Series,Dell PowerSwitch S Series,Dell PowerScale All Flash Series,,Dell PowerProtect Data Domain,
Greenfield,Government,SMB,,Cloud native,Cloud native Scalable S3 Environments,,,,multiprotocol,Backup,,,AWS,"Moderate, HPC",,,,,,Dell APEX Object Storage
Brownfield,Logistics,Mid,,File,Extreme performance NAS Environment,,Dell,,NFS,Snapshot,Full,PowerProtect,,"Moderate, HPC",Dell PowerEdge R Series,Dell PowerSwitch S Series,Dell PowerScale All Flash Series,,Snapshots are taken locally by same Dell Storage recommended above,
Greenfield,Energy,Mid,,Unified,Business Critical Modern Environment,,,,FC/iSCSI/NFS/NVMe,Backup,,,,"Moderate, HPC",Dell PowerEdge R Series,Dell PowerSwitch S Series,Dell PowerStore,,Dell PowerProtect Data Domain,
Brownfield,Legal,Enterprise,,File,Extreme performance NAS Environment,Dell,Brocade,EMC,NFS,Backup,Full,Druva,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerScale All Flash Series,,Dell PowerProtect Data Domain,
Greenfield,Nonprofit,SMB,,Cloud native,Cloud native Scalable S3 Environments,,,,multiprotocol,Backup,,,AWS,"Moderate, HPC",,,,,,Dell APEX Object Storage
Brownfield,Media,Mid,,File,Extreme performance NAS Environment,Dell,Dell,EMC,NFS,Backup,Full,PowerProtect,,"Moderate, HPC",Dell PowerEdge R Series,Dell PowerSwitch S Series,Dell PowerScale All Flash Series,,Dell PowerProtect Data Domain,
Brownfield,Public Sector,SMB,,Cloud native,Cloud native Scalable S3 Environments,,Arista,,multiprotocol,Backup,Incremental,Veeam,AWS,"Moderate, HPC",,,,,,Dell APEX Object Storage
Greenfield,Retail,Enterprise,,File,Extreme performance NAS Environment,,,,NFS,Backup,,,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerScale All Flash Series,,Dell PowerProtect Data Domain,
Brownfield,Transportation,Enterprise,,Object,S3 Environment,IBM,Dell,,S3,Backup,Differential,Veeam,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell ECS/ObjectScale,,Dell PowerProtect Data Domain,
Greenfield,Retail,Mid,,File,Hybrid NAS Environment,,,,NFS,Snapshot,,,,"Moderate, HPC",Dell PowerEdge R Series,Dell PowerSwitch S Series,Dell PowerScale Hybrid Series,,Snapshots are taken locally by same Dell Storage recommended above,
Greenfield,Research,Enterprise,,File,Extreme performance NAS Environment,,,,NFS,Backup,,,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerScale All Flash Series,,Dell PowerProtect Data Domain,
Brownfield,Finance,Mid,,Cloud native,Cloud native Scalable S3 Environments,Dell,Dell,,multiprotocol,Backup,Incremental,Veeam,AWS,"Moderate, HPC",,,,,,Dell APEX Object Storage
Greenfield,Hospitality,Enterprise,,File,Hybrid NAS Environment,,,,NFS,Backup,,,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerScale Hybrid Series,,Dell PowerProtect Data Domain,
Brownfield,Life Sciences,Enterprise,,Unified,Business Critical Modern Environment,Dell,Dell,NetApp,FC/iSCSI/NFS/NVMe,Backup,Full,Commvault,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerStore,,Dell PowerProtect Data Domain,
Greenfield,Automotive,SMB,,Cloud native,Cloud native Scalable S3 Environments,,,,multiprotocol,Backup,,,AWS,"Moderate, HPC",,,,,,Dell APEX Object Storage
Brownfield,Healthcare,Mid,,File,Extreme performance NAS Environment,Dell,Dell,Dell,NFS,Backup,Full,PowerProtect,,"Moderate, HPC",Dell PowerEdge R Series,Dell PowerSwitch S Series,Dell PowerScale All Flash Series,,Dell PowerProtect Data Domain,
Brownfield,Telecom,Enterprise,,File,Hybrid NAS Environment,Dell,Dell,NetApp,NFS,Backup,Full,Commvault,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerScale Hybrid Series,,Dell PowerProtect Data Domain,
Greenfield,Agriculture,Enterprise,,Object,S3 Environment,,,,S3,Backup,,,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell ECS/ObjectScale,,Dell PowerProtect Data Domain,
Brownfield,Construction,Enterprise,,File,Active Archive NAS Environment,Dell,Dell,IBM,NFS,Backup,Full,Commvault,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerScale Archive series,,Dell PowerProtect Data Domain,
Brownfield,Healthcare,Enterprise,,Block,Mission Critical Environment,Dell,Cisco,IBM,FC/iSCSI,Backup,Full,Druva,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerMax,,Dell PowerProtect Data Domain,
Greenfield,Agriculture,SMB,,Cloud native,Cloud native Scalable S3 Environments,,,,multiprotocol,Backup,,,AWS,"Moderate, HPC",,,,,,Dell APEX Object Storage
Brownfield,Hospitality,Mid,,File,Hybrid NAS Environment,Dell,Dell,,NFS,Backup,Full,Avamar,,"Moderate, HPC",Dell PowerEdge R Series,Dell PowerSwitch S Series,Dell PowerScale Hybrid Series,,Dell PowerProtect Data Domain,
Greenfield,Public Sector,SMB,,Cloud native,Cloud native Scalable S3 Environments,,,,multiprotocol,Snapshot,,,AWS,"Moderate, HPC",,,,,,Dell APEX Object Storage
Brownfield,Media,Large,Hyper-V,Block,Hybrid Azure Cloud Environment,Dell,Dell,Dell,FC/iSCSI,Archive,Full,Druva,Azure,Not ready,,,,Dell AX System for Azure Local,,
Greenfield,Biotechnology,Mid,,File,Extreme performance NAS Environment,,,,NFS,Backup,,,,"Moderate, HPC",Dell PowerEdge R Series,Dell PowerSwitch S Series,Dell PowerScale All Flash Series,,Dell PowerProtect Data Domain,
Brownfield,Finance,Enterprise,,Object,S3 Environment,,Dell,,S3,Archive,Differential,Veeam,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell ECS/ObjectScale,,Dell Data Protection Suite for Archive,
Greenfield,Transportation,Mid,,Cloud native,Cloud native Scalable S3 Environments,,,,multiprotocol,Snapshot,,,AWS,"Moderate, HPC",,,,,,Dell APEX Object Storage
Brownfield,Public Sector,Mid,,Cloud native,Cloud native Scalable S3 Environments,Dell,Arista,,multiprotocol,Backup,Differential,Veeam,AWS,"Moderate, HPC",,,,,,Dell APEX Object Storage
Brownfield,Finance,Enterprise,,Block,Mission Critical Environment,IBM,Brocade,IBM,FC/iSCSI,Archive,Full,Commvault,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerMax,,Dell Data Protection Suite for Archive,
Brownfield,Manufacturing,Enterprise,,Object,S3 Environment,,Dell,EMC,S3,Backup,Differential,Veeam,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell ECS/ObjectScale,,Dell PowerProtect Data Domain,
Brownfield,Legal,SMB,,Cloud native,Cloud native Scalable S3 Environments,,Dell,,multiprotocol,Backup,Incremental,Veeam,AWS,"Moderate, HPC",,,,,,Dell APEX Object Storage
Greenfield,Retail,Enterprise,,File,Extreme performance NAS Environment,,,,NFS,Backup,,,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerScale All Flash Series,,Dell PowerProtect Data Domain,
Brownfield,Energy,Mid,,File,Hybrid NAS Environment,Dell,Dell,,NFS,Snapshot,Full,PowerProtect,,"Moderate, HPC",Dell PowerEdge R Series,Dell PowerSwitch S Series,Dell PowerScale Hybrid Series,,Snapshots are taken locally by same Dell Storage recommended above,
Greenfield,Healthcare,SMB,,Cloud native,Cloud native Scalable S3 Environments,,,,multiprotocol,Backup,,,AWS,"Moderate, HPC",,,,,,Dell APEX Object Storage
Brownfield,Life Sciences,Enterprise,,File,Extreme performance NAS Environment,Dell,Cisco,IBM,NFS,Backup,Full,PowerProtect,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerScale All Flash Series,,Dell PowerProtect Data Domain,
Brownfield,Manufacturing,Mid,,File,Hybrid NAS Environment,Dell,Dell,,NFS,Backup,Incremental,Avamar,,"Moderate, HPC",Dell PowerEdge R Series,Dell PowerSwitch S Series,Dell PowerScale Hybrid Series,,Dell PowerProtect Data Domain,
Brownfield,Logistics,Enterprise,,File,Extreme performance NAS Environment,Dell,Dell,Dell,NFS,Backup,Full,Druva,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerScale All Flash Series,,Dell PowerProtect Data Domain,
Brownfield,Hospitality,Enterprise,,Object,S3 Environment,,Dell,,S3,Backup,Differential,Veeam,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell ECS/ObjectScale,,Dell PowerProtect Data Domain,
Greenfield,Public Sector,Mid,,File,Extreme performance NAS Environment,,,,NFS,Snapshot,,,,"Moderate, HPC",Dell PowerEdge R Series,Dell PowerSwitch S Series,Dell PowerScale All Flash Series,,Snapshots are taken locally by same Dell Storage recommended above,
Brownfield,Pharma,Enterprise,,Object,S3 Environment,,Dell,,S3,Backup,Full,Druva,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell ECS/ObjectScale,,Dell PowerProtect Data Domain,
Brownfield,Education,Enterprise,,File,Hybrid NAS Environment,,Dell,,NFS,Snapshot,Incremental,Avamar,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerScale Hybrid Series,,Snapshots are taken locally by same Dell Storage recommended above,
Greenfield,Food & Beverage,Enterprise,,File,Extreme performance NAS Environment,,,,NFS,Backup,,,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerScale All Flash Series,,Dell PowerProtect Data Domain,
Brownfield,Automotive,SMB,,Cloud native,Cloud native Scalable S3 Environments,Dell,Arista,,multiprotocol,Backup,Incremental,Veeam,AWS,"Moderate, HPC",,,,,,Dell APEX Object Storage
Brownfield,Logistics,Mid,,File,Hybrid NAS Environment,Dell,Dell,Dell,NFS,Backup,Full,Avamar,,"Moderate, HPC",Dell PowerEdge R Series,Dell PowerSwitch S Series,Dell PowerScale Hybrid Series,,Dell PowerProtect Data Domain,
Brownfield,Legal,Enterprise,,Block,Mission Critical Environment,Dell,Brocade,EMC,FC/iSCSI,Archive,Full,Druva,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerMax,,Dell Data Protection Suite for Archive,
Greenfield,Agriculture,SMB,,Cloud native,Cloud native Scalable S3 Environments,,,,multiprotocol,Backup,,,AWS,"Moderate, HPC",,,,,,Dell APEX Object Storage
Brownfield,Healthcare,Enterprise,,File,Extreme performance NAS Environment,Dell,Dell,NetApp,NFS,Backup,Full,Commvault,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerScale All Flash Series,,Dell PowerProtect Data Domain,
Greenfield,Manufacturing,Mid,,Cloud native,Cloud native Scalable S3 Environments,,,,multiprotocol,Snapshot,,,AWS,"Moderate, HPC",,,,,,Dell APEX Object Storage
Greenfield,Public Sector,Enterprise,,File,Extreme performance NAS Environment,,,,NFS,Backup,,,,"Gen AI, HPC",Dell PowerEdge XE Series,Dell PowerSwitch Z Series,Dell PowerScale All Flash Series,,Dell PowerProtect Data Domain,
Greenfield,Maritime,SMB,,Cloud native,Cloud native Scalable S3 Environments,,,,multiprotocol,Archive,,,AWS,"Moderate, HPC",,,,,,Dell APEX Object Storage
